bin,ci_hi,ci_lo,delta_m,excluye_cero,match_id,n
global,0.3314291357994079,-0.13150652647018432,0.07088613510131836,False,J03WMX,90198
<=2s,0.14389553666114807,0.029017499089241026,0.08847129344940186,True,J03WMX,90198
2-9.6s,0.10394651293754573,-0.1223742425441742,-0.017932415008544922,False,J03WMX,90198
>9.6s,0.7597159981727599,-0.5119559407234192,-0.013171195983886719,False,J03WMX,90198
global,0.8211994647979736,-0.11654102802276611,0.30074405670166016,False,J03WN1,87290
<=2s,0.2613458037376404,0.13684931695461272,0.19999051094055176,True,J03WN1,87290
2-9.6s,0.3232137799263,-0.007813811302185059,0.13771629333496094,False,J03WN1,87290
>9.6s,1.9080130100250243,-0.18051742315292357,0.6517114639282227,False,J03WN1,87290
global,0.3482678532600403,-0.16205332279205323,0.10734176635742188,False,J03WOH,98355
<=2s,0.24138094484806058,0.11489923000335693,0.16252517700195312,True,J03WOH,98355
2-9.6s,0.3483299851417541,0.04808423519134521,0.20435190200805664,True,J03WOH,98355
>9.6s,0.7806506633758543,-0.8540592432022095,-0.047573089599609375,False,J03WOH,98355
global,0.07775340080261216,-0.4354093074798584,-0.18256092071533203,False,J03WOY,102293
<=2s,0.15298221707344056,0.016296324133872987,0.07430100440979004,True,J03WOY,102293
2-9.6s,0.12415969371795646,-0.18214467763900757,-0.03488731384277344,False,J03WOY,102293
>9.6s,0.5782706975936889,-0.8606376886367798,-0.12335586547851562,False,J03WOY,102293
global,-0.021043884754180946,-0.46615166664123536,-0.2258157730102539,True,J03WPY,91493
<=2s,0.08546868562698363,-0.029349553585052486,0.0244675874710083,False,J03WPY,91493
2-9.6s,0.059557735919952386,-0.18705222606658936,-0.04988384246826172,False,J03WPY,91493
>9.6s,-0.2167070627212526,-1.7641242146492004,-1.052717685699463,True,J03WPY,91493
global,-0.2919826984405518,-0.697411572933197,-0.5002021789550781,True,J03WQQ,90872
<=2s,0.051048418879508964,-0.03142837285995483,0.007989287376403809,False,J03WQQ,90872
2-9.6s,-0.07290664315223694,-0.33767434358596804,-0.20009708404541016,True,J03WQQ,90872
>9.6s,-0.880393421649933,-2.238034653663635,-1.5393643379211426,True,J03WQQ,90872
global,0.06048176288604727,-0.4787436842918396,-0.19378662109375,False,J03WR9,99589
<=2s,0.15817022323608398,-0.020039451122283933,0.05488097667694092,False,J03WR9,99589
2-9.6s,0.2728798031806946,-0.03637683391571045,0.11654090881347656,False,J03WR9,99589
>9.6s,0.20841696262359619,-1.6317894458770752,-0.4902768135070801,False,J03WR9,99589
global,-0.04007570743560792,-0.2388481616973877,-0.13909912109375,True,AGRUPADO,660090
<=2s,0.10749419331550597,0.05941356122493744,0.0831153392791748,True,AGRUPADO,660090
2-9.6s,0.053748416900634755,-0.05197939872741699,0.0016341209411621094,False,AGRUPADO,660090
>9.6s,-0.1300639629364014,-0.7019190073013306,-0.4185161590576172,True,AGRUPADO,660090
