match_id,provider,fps,width_m,n_frames,visible_mean,visible_std,visible_p05,visible_p95,hidden_share_le2s,hidden_share_2_96s,hidden_share_gt96s,cold_start_share,gap_median_s,gap_p90_s,gap_max_s
metrica_1,metrica,5.0,36,29002,13.248155299634508,5.203483163110546,2.0,20.0,0.1286207282197121,0.31002859836078667,0.5613506734195012,0.013627606639272248,12.0,56.60000228881836,414.0
metrica_1,metrica,5.0,44,29002,15.018860768222881,5.223230995293746,3.0,20.0,0.13155929365886912,0.31525710877312574,0.5531835975680052,0.014629400056304916,11.800000190734863,53.400001525878906,355.8000183105469
metrica_1,metrica,5.0,52,29002,16.47527756706434,5.023950546982984,6.0,21.0,0.13209510695407733,0.31114721018332264,0.5567576828626,0.016470074268239404,12.0,50.0,256.3999938964844
metrica_1,metrica,5.0,60,29002,17.544341769533137,4.724524549039944,7.0,21.0,0.1269868545407681,0.30718040443961914,0.5658327410196128,0.009255175082220932,12.199999809265137,50.400001525878906,252.60000610351562
metrica_2,metrica,5.0,36,28232,13.716739869651459,5.371294015665165,1.0,20.0,0.13251554418697098,0.3061049011177988,0.5613795546952303,0.010335508479649695,12.199999809265137,65.80000305175781,435.0
metrica_2,metrica,5.0,44,28232,15.341739869651459,5.383884986257945,2.0,20.0,0.13235065025757828,0.3035556009175051,0.5640937488249166,0.009682035568181214,12.199999809265137,62.20000076293945,433.0
metrica_2,metrica,5.0,52,28232,16.687623972796825,5.104026088434799,4.0,21.0,0.13051926298157454,0.2995443886097152,0.5699363484087102,0.004867315642085612,12.600000381469727,63.220001220703125,240.1999969482422
metrica_2,metrica,5.0,60,28232,17.799518277132332,4.73469134367639,6.0,21.0,0.12825906261132128,0.3029804413835219,0.5687604960051569,0.005793117405492921,12.199999809265137,54.400001525878906,235.8000030517578
J03WMX,sportec,5.0,36,17073,13.489310607391788,4.077043856000507,6.0,20.0,0.19685541125541126,0.3724952380952381,0.43064935064935067,0.0063866540952354734,7.400000095367432,51.79999923706055,419.8000183105469
J03WMX,sportec,5.0,44,17073,15.380659520880924,3.995627360000928,8.0,20.0,0.21611028156996587,0.38510558873720135,0.3987841296928328,0.004424308922946236,6.599999904632568,48.60000228881836,373.6000061035156
J03WMX,sportec,5.0,52,17073,16.939729397293974,3.7064342523945544,10.0,21.0,0.2223407833540171,0.39371832194759854,0.3839408946983843,0.002025603629881705,6.200000286102295,45.79999923706055,361.8000183105469
J03WMX,sportec,5.0,60,17073,18.176360335031923,3.3195813586360448,11.0,21.0,0.23794459119110511,0.40392530253701087,0.358130106271884,0.002527534811047625,5.800000190734863,43.400001525878906,281.8000183105469
J03WN1,sportec,5.0,36,13675,13.128263254113346,4.56780743992246,4.0,19.0,0.20971739291262853,0.38022490197529035,0.41005770511208106,0.0034466869412957332,7.0,47.60000228881836,523.6000366210938
J03WN1,sportec,5.0,44,13675,14.769213893967093,4.47391496389437,5.0,19.0,0.2147523610997892,0.3969791897148048,0.38826844918540604,0.0023120715696526082,6.599999904632568,42.20000076293945,521.0
J03WN1,sportec,5.0,52,13675,16.13798903107861,4.133517650630006,7.0,20.0,0.22489690798386255,0.41089425810965713,0.3642088339064803,0.0026576790592706973,6.0,44.400001525878906,520.0
J03WN1,sportec,5.0,60,13675,17.29981718464351,3.7035952643996457,9.0,20.0,0.2391766242373443,0.4074969298844077,0.35332644587824796,0.003167262552463858,5.599999904632568,42.20000076293945,313.0
J03WOH,sportec,5.0,36,14382,12.80795438742873,4.544588732611571,5.0,19.0,0.18656074097206882,0.3795044444613709,0.4339348145665603,0.0069062027231467475,7.800000190734863,44.0,292.0
J03WOH,sportec,5.0,44,14382,14.655819774718397,4.500176203574902,6.0,20.0,0.1946149447197865,0.39118375905451774,0.4142012962256958,0.006665151859425888,7.200000286102295,41.20000076293945,291.0
J03WOH,sportec,5.0,52,14382,16.124600194687805,4.1971038187353225,8.0,21.0,0.2057031556194254,0.39933965961590995,0.3949571847646647,0.003562130177514793,6.599999904632568,38.400001525878906,246.0
J03WOH,sportec,5.0,60,14382,17.424280350438046,3.8021673084239573,10.0,21.0,0.2159548505186089,0.4089383770591824,0.3751067724222087,0.0037685387794796983,6.200000286102295,35.20000076293945,244.1999969482422
J03WOY,sportec,5.0,36,15256,13.35068169900367,4.60583073690593,5.0,20.0,0.2081792324058046,0.3810137489800743,0.4108070186141211,0.00619155160131561,7.0,44.79999923706055,314.20001220703125
J03WOY,sportec,5.0,44,15256,15.233875196643943,4.485976614844734,7.0,20.0,0.21888127564596147,0.3916120040156337,0.38950672033840483,0.00605479345888553,6.400000095367432,43.400001525878906,183.1999969482422
J03WOY,sportec,5.0,52,15256,16.761536444677503,4.14772501617001,9.0,21.0,0.22935802872472763,0.39640375457069976,0.3742382167045726,0.004191796591506294,6.0,44.60000228881836,173.0
J03WOY,sportec,5.0,60,15256,17.999213424226532,3.7118447873388183,10.0,21.0,0.23858736793601684,0.39961491623605305,0.3617977158279301,0.004423618847893046,5.800000190734863,42.0,172.40000915527344
J03WPY,sportec,5.0,36,16291,13.297526241483027,4.7077038584539235,5.0,20.0,0.2000368144199251,0.39627183201297,0.4036913535671049,0.0036890218096662245,7.0,41.0,366.20001220703125
J03WPY,sportec,5.0,44,16291,15.162666502977103,4.61850711039189,7.0,20.0,0.2198111167183332,0.42519465071011464,0.35499423257155216,0.0037616597987197788,6.0,36.400001525878906,365.0
